Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-11-26 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,120,0.0,0.0
2001-11-27 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-11-28 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-11-29 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-11-30 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-03 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-04 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-05 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-06 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-07 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,15,0.0,0.0
2001-12-10 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-11 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-12 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-13 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-14 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-17 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-18 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-19 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-20 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-21 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-24 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-25 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-26 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-27 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-28 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2001-12-31 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2002-01-01 00:00:00+05:30,1.4195421934127808,1.4195421934127808,1.4195421934127808,1.4195421934127808,0,0.0,0.0
2002-01-02 00:00:00+05:30,1.2739481925964355,1.2739481925964355,1.2739481925964355,1.2739481925964355,500,0.0,0.0
2002-01-03 00:00:00+05:30,1.2739481925964355,1.2739481925964355,1.2739481925964355,1.2739481925964355,0,0.0,0.0
2002-01-04 00:00:00+05:30,1.2739481925964355,1.2739481925964355,1.2739481925964355,1.2739481925964355,0,0.0,0.0
2002-01-07 00:00:00+05:30,1.4923388957977295,1.4923388957977295,1.4923388957977295,1.4923388957977295,995,0.0,0.0
2002-01-08 00:00:00+05:30,1.565136194229126,1.565136194229126,1.565136194229126,1.565136194229126,0,0.0,0.0
2002-01-09 00:00:00+05:30,1.565136194229126,1.565136194229126,1.565136194229126,1.565136194229126,0,0.0,0.0
2002-01-10 00:00:00+05:30,1.565136194229126,1.565136194229126,1.565136194229126,1.565136194229126,0,0.0,0.0
2002-01-11 00:00:00+05:30,1.565136194229126,1.565136194229126,1.565136194229126,1.565136194229126,0,0.0,0.0
2002-01-14 00:00:00+05:30,1.565136194229126,1.565136194229126,1.565136194229126,1.565136194229126,0,0.0,0.0
