Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-08-30 00:00:00+05:30,6.381802082061768,6.381802082061768,6.381802082061768,6.381802082061768,82,0.0,0.0
2001-08-31 00:00:00+05:30,6.381802082061768,6.381802082061768,6.381802082061768,6.381802082061768,0,0.0,0.0
2001-09-03 00:00:00+05:30,5.930990219116211,5.930990219116211,5.930990219116211,5.930990219116211,26,0.0,0.0
2001-09-04 00:00:00+05:30,5.930990219116211,5.930990219116211,5.930990219116211,5.930990219116211,0,0.0,0.0
2001-09-05 00:00:00+05:30,5.930990219116211,5.930990219116211,5.930990219116211,5.930990219116211,0,0.0,0.0
2001-09-06 00:00:00+05:30,5.916902542114257,5.916902542114257,5.916902542114257,5.916902542114258,46,0.0,0.0
2001-09-07 00:00:00+05:30,5.916902542114257,5.916902542114257,5.916902542114257,5.916902542114258,0,0.0,0.0
2001-09-10 00:00:00+05:30,6.381802082061768,6.381802082061768,6.381802082061768,6.381802082061768,200,0.0,0.0
2001-09-11 00:00:00+05:30,6.381802082061768,6.381802082061768,6.381802082061768,6.381802082061768,0,0.0,0.0
2001-09-12 00:00:00+05:30,6.100044250488281,6.100044250488281,6.100044250488281,6.100044250488281,400,0.0,0.0
2001-09-13 00:00:00+05:30,6.100044250488281,6.100044250488281,6.100044250488281,6.100044250488281,0,0.0,0.0
2001-09-14 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,28,0.0,0.0
2001-09-17 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-09-18 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-09-19 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-09-20 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-09-21 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-09-24 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-09-25 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-09-26 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-09-27 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-09-28 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-01 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-02 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-03 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-04 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-05 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-08 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-09 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-10 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-11 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-12 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-15 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-16 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-17 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-18 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-19 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-22 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-23 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-24 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-25 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-26 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-29 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-30 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-10-31 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-11-01 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-11-02 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-11-05 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-11-06 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-11-07 00:00:00+05:30,6.085957527160644,6.085957527160644,6.085957527160644,6.0859575271606445,0,0.0,0.0
2001-11-08 00:00:00+05:30,5.592881679534912,5.592881679534912,5.592881679534912,5.592881679534912,312,0.0,0.0
2001-11-09 00:00:00+05:30,5.592881679534912,5.592881679534912,5.592881679534912,5.592881679534912,0,0.0,0.0
2001-11-12 00:00:00+05:30,5.592881679534912,5.592881679534912,5.592881679534912,5.592881679534912,0,0.0,0.0
2001-11-13 00:00:00+05:30,5.592881679534912,5.592881679534912,5.592881679534912,5.592881679534912,0,0.0,0.0
2001-11-14 00:00:00+05:30,5.592881679534912,5.592881679534912,5.592881679534912,5.592881679534912,0,0.0,0.0
2001-11-15 00:00:00+05:30,5.592881679534912,5.592881679534912,5.592881679534912,5.592881679534912,0,0.0,0.0
2001-11-16 00:00:00+05:30,5.592881679534912,5.592881679534912,5.592881679534912,5.592881679534912,0,0.0,0.0
2001-11-19 00:00:00+05:30,5.592881679534912,5.592881679534912,5.592881679534912,5.592881679534912,0,0.0,0.0
2001-11-20 00:00:00+05:30,5.592881679534912,5.592881679534912,5.592881679534912,5.592881679534912,0,0.0,0.0
2001-11-21 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,100,0.0,0.0
2001-11-22 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-11-23 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-11-26 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-11-27 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-11-28 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-11-29 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-11-30 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-03 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-04 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-05 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-06 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-07 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-10 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-11 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-12 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-13 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-14 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-17 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-18 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-19 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-20 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-21 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-24 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-25 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-26 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-27 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-28 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2001-12-31 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2002-01-01 00:00:00+05:30,5.367475509643555,5.367475509643555,5.367475509643555,5.367475509643555,0,0.0,0.0
2002-01-02 00:00:00+05:30,5.635145664215088,5.635145664215088,5.635145664215088,5.635145664215088,312,0.0,0.0
2002-01-03 00:00:00+05:30,5.635145664215088,5.635145664215088,5.635145664215088,5.635145664215088,0,0.0,0.0
2002-01-04 00:00:00+05:30,6.057781219482422,6.057781219482422,6.057781219482422,6.057781219482422,500,0.0,0.0
2002-01-07 00:00:00+05:30,6.057781219482422,6.057781219482422,6.057781219482422,6.057781219482422,0,0.0,0.0
2002-01-08 00:00:00+05:30,5.635145664215088,5.635145664215088,5.635145664215088,5.635145664215088,690,0.0,0.0
2002-01-09 00:00:00+05:30,5.705584526062012,5.705584526062012,5.705584526062012,5.705584526062012,1442,0.0,0.0
2002-01-10 00:00:00+05:30,5.705584526062012,5.705584526062012,5.705584526062012,5.705584526062012,0,0.0,0.0
2002-01-11 00:00:00+05:30,5.423827648162842,5.423827648162842,5.423827648162842,5.423827648162842,28,0.0,0.0
2002-01-14 00:00:00+05:30,5.480178356170654,5.480178356170654,5.480178356170654,5.480178356170654,150,0.0,0.0
2002-01-15 00:00:00+05:30,5.480178356170654,5.480178356170654,5.480178356170654,5.480178356170654,0,0.0,0.0
2002-01-16 00:00:00+05:30,5.480178356170654,5.480178356170654,5.480178356170654,5.480178356170654,0,0.0,0.0
2002-01-17 00:00:00+05:30,6.466328144073486,6.466328144073486,6.466328144073486,6.466328144073486,200,0.0,0.0
2002-01-18 00:00:00+05:30,6.057781219482422,6.057781219482422,6.057781219482422,6.057781219482422,388,0.0,0.0
2002-01-21 00:00:00+05:30,5.536529541015625,5.536529541015625,5.536529541015625,5.536529541015625,214,0.0,0.0
2002-01-22 00:00:00+05:30,5.635145664215088,5.635145664215088,5.635145664215088,5.635145664215088,286,0.0,0.0
2002-01-23 00:00:00+05:30,6.198660373687744,6.198660373687744,6.198660373687744,6.198660373687744,1084,0.0,0.0
2002-01-24 00:00:00+05:30,6.198660373687744,6.198660373687744,6.198660373687744,6.198660373687744,0,0.0,0.0
2002-01-25 00:00:00+05:30,6.114131450653076,6.114131450653076,6.114131450653076,6.114131450653076,96,0.0,0.0
2002-01-28 00:00:00+05:30,5.930990219116211,5.930990219116211,5.930990219116211,5.930990219116211,100,0.0,0.0
2002-01-29 00:00:00+05:30,5.930990219116211,5.930990219116211,5.930990219116211,5.930990219116211,0,0.0,0.0
2002-01-30 00:00:00+05:30,5.930990219116211,5.930990219116211,5.930990219116211,5.930990219116211,0,0.0,0.0
2002-01-31 00:00:00+05:30,5.930990219116211,5.930990219116211,5.930990219116211,5.930990219116211,0,0.0,0.0
